max_depth,n_estimators,subsample,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1,30,1,3,GrowthYield,TRIM,0.125,1,0.531076671,0.406448043,0.659845453,0.715107451
1,30,1,3,DoublingTime,TRIM,0.25,2,0.515582762,0.439195349,0.157846739,0.156781354
1,30,1,3,GrowthYield,TRIM,0.25,2,0.519381936,0.389324725,0.903268372,1.033874838
1,30,1,3,DoublingTime,TRIM,0.5,3,0.416117917,0.201113456,0.162196216,0.182557123
1,30,1,3,GrowthYield,TRIM,0.5,3,0.541514465,0.446497992,1.273434355,1.379031473
1,30,1,4,DoublingTime,NoAntimicrbial,NA,2,0.497468293,0.279728907,0.250354137,0.275831356
1,30,1,4,GrowthYield,NoAntimicrbial,NA,2,0.445276696,0.415332506,0.572074372,0.570775579
1,30,1,4,DoublingTime,CAM,0.5,1,0.329026028,0.111471305,0.12944272,0.1425237
1,30,1,4,GrowthYield,CAM,0.5,1,0.425158716,0.327928416,0.198282597,0.238105975
1,30,1,4,DoublingTime,CAM,1,2,0.381761103,0.061849544,0.12790137,0.139292784
1,30,1,4,GrowthYield,CAM,1,2,0.440782261,0.283010531,0.308324716,0.310737824
1,30,1,4,DoublingTime,CAM,2,3,0.468564464,0.196601627,0.198364335,0.214971771
1,30,1,4,GrowthYield,CAM,2,3,0.505497261,0.35453935,0.568911302,0.563752078
1,30,1,4,DoublingTime,CIP,0.002,1,0.425104746,0.290727302,0.11687603,0.120507758
1,30,1,4,GrowthYield,CIP,0.002,1,0.376474708,0.121119696,0.222941724,0.235920251
1,30,1,4,DoublingTime,CIP,0.004,2,0.460928675,0.268092136,0.160021502,0.16804859
1,30,1,4,GrowthYield,CIP,0.004,2,0.445746057,0.273375125,0.477321958,0.540670626
1,30,1,4,DoublingTime,CIP,0.008,3,0.367639208,0.118911477,0.114279455,0.126101825
1,30,1,4,GrowthYield,CIP,0.008,3,0.671983248,0.45532574,0.734056823,0.871573431
1,30,1,4,DoublingTime,CTX,0.5,1,0.490525253,0.3101766,0.137707654,0.140562826
