max_depth,n_estimators,subsample,CrossValidationSet,Measurement,Drug,Concentration_Original,Concentration,Validation Spearman,Training MAE,Validation MAE
1,30,0.8,4,GrowthYield,TET,1.25,3,0.617635244,1.131892739,1.124246448
1,30,0.8,4,DoublingTime,TRIM,0.125,1,0.285054997,0.15671785,0.162310637
1,30,0.8,4,GrowthYield,TRIM,0.125,1,0.50491761,0.648464225,0.640609305
1,30,0.8,4,DoublingTime,TRIM,0.25,2,0.456417623,0.151002718,0.164524843
1,30,0.8,4,GrowthYield,TRIM,0.25,2,0.498168193,0.864885721,0.855213963
1,30,0.8,4,DoublingTime,TRIM,0.5,3,0.212348987,0.1653854,0.165333015
1,30,0.8,4,GrowthYield,TRIM,0.5,3,0.590575222,1.149826021,1.090208212
1,30,1,1,DoublingTime,NoAntimicrbial,NA,2,0.38161402,0.256481105,0.272184481
1,30,1,1,GrowthYield,NoAntimicrbial,NA,2,0.404521945,0.581117659,0.559362518
1,30,1,1,DoublingTime,CAM,0.5,1,0.034765929,0.131912652,0.136605207
1,30,1,1,GrowthYield,CAM,0.5,1,0.290520188,0.208900414,0.206387363
1,30,1,1,DoublingTime,CAM,1,2,0.010638617,0.127233024,0.145421069
1,30,1,1,GrowthYield,CAM,1,2,0.353897836,0.300577155,0.305508215
1,30,1,1,DoublingTime,CAM,2,3,0.34058723,0.203300732,0.204072265
1,30,1,1,GrowthYield,CAM,2,3,0.486709025,0.539426911,0.56673136
1,30,1,1,DoublingTime,CIP,0.002,1,0.167813821,0.118479697,0.120960022
1,30,1,1,GrowthYield,CIP,0.002,1,0.03476187,0.229471588,0.217899552
1,30,1,1,DoublingTime,CIP,0.004,2,0.244127905,0.159318055,0.171282158
1,30,1,1,GrowthYield,CIP,0.004,2,0.308827,0.503438974,0.513476088
1,30,1,1,DoublingTime,CIP,0.008,3,0.096308281,0.118691551,0.115925262
1,30,1,1,GrowthYield,CIP,0.008,3,0.567458957,0.810163463,0.868324822
1,30,1,1,DoublingTime,CTX,0.5,1,0.381584,0.138925395,0.143984813
1,30,1,1,GrowthYield,CTX,0.5,1,0.679766681,1.234277173,1.228379474
1,30,1,1,DoublingTime,CTX,1,2,0.349300923,0.125176389,0.127895846
1,30,1,1,GrowthYield,CTX,1,2,0.689162693,1.338857099,1.34160563
1,30,1,1,DoublingTime,CTX,2,3,0.529628433,0.154531056,0.156167295
1,30,1,1,GrowthYield,CTX,2,3,0.705852995,1.463444003,1.521748314
1,30,1,1,DoublingTime,KAN,4,1,0.001159004,0.106653952,0.110057707
1,30,1,1,GrowthYield,KAN,4,1,0.318206154,0.415472894,0.432060685
1,30,1,1,DoublingTime,KAN,8,2,0.361623508,0.157060245,0.152759541
1,30,1,1,GrowthYield,KAN,8,2,0.493647268,0.804347551,0.806848161
1,30,1,1,DoublingTime,KAN,16,3,0.511051198,0.257996262,0.239083214
1,30,1,1,GrowthYield,KAN,16,3,0.485643884,1.215299424,1.305320822
1,30,1,1,DoublingTime,TET,0.3,1,0.349989778,0.159860871,0.152269897
1,30,1,1,GrowthYield,TET,0.3,1,0.49706467,0.346135628,0.330625274
1,30,1,1,DoublingTime,TET,0.6,2,0.234583457,0.227262814,0.233089945
1,30,1,1,GrowthYield,TET,0.6,2,0.614423188,0.75182846,0.703665788
1,30,1,1,DoublingTime,TET,1.25,3,0.628524997,0.311400527,0.286475769
1,30,1,1,GrowthYield,TET,1.25,3,0.684733233,1.148109596,1.109565933
1,30,1,1,DoublingTime,TRIM,0.125,1,0.371871227,0.157380549,0.160688414
1,30,1,1,GrowthYield,TRIM,0.125,1,0.607307277,0.644899067,0.669697031
1,30,1,1,DoublingTime,TRIM,0.25,2,0.412930728,0.152805594,0.164564297
1,30,1,1,GrowthYield,TRIM,0.25,2,0.558000415,0.882342739,0.863470927
1,30,1,1,DoublingTime,TRIM,0.5,3,0.328280767,0.16536067,0.173811992
1,30,1,1,GrowthYield,TRIM,0.5,3,0.661701089,1.14419451,1.176059127
1,30,1,2,DoublingTime,NoAntimicrbial,NA,2,0.428672885,0.256612517,0.273596972
1,30,1,2,GrowthYield,NoAntimicrbial,NA,2,0.352535426,0.559207671,0.623540247
1,30,1,2,DoublingTime,CAM,0.5,1,0.196006999,0.133555485,0.132996988
1,30,1,2,GrowthYield,CAM,0.5,1,0.367530603,0.20831472,0.207225222
1,30,1,2,DoublingTime,CAM,1,2,-0.058152859,0.132241452,0.129858228
