alpha,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
0.01,4,DoublingTime,CIP,0.004,2,0.340249417,0.247685516,0.164911314,0.166718649
0.01,4,GrowthYield,CIP,0.004,2,0.658950424,0.315332029,0.394489864,0.528882127
0.01,4,DoublingTime,CIP,0.008,3,0.211883227,0.051943608,0.120125641,0.124875492
0.01,4,GrowthYield,CIP,0.008,3,0.841663678,0.565185076,0.520961849,0.858649193
0.01,4,DoublingTime,CTX,0.5,1,0.374706948,0.301176856,0.142922076,0.139848541
0.01,4,GrowthYield,CTX,0.5,1,0.890582553,0.668880487,0.621711335,1.208882774
0.01,4,DoublingTime,CTX,1,2,0.344245127,0.323499075,0.130156924,0.126564645
0.01,4,GrowthYield,CTX,1,2,0.902597084,0.672845619,0.630353692,1.317413935
0.01,4,DoublingTime,CTX,2,3,0.55472101,0.564546266,0.154936292,0.149278579
0.01,4,GrowthYield,CTX,2,3,0.891170406,0.69888492,0.65651077,1.34134112
0.01,4,DoublingTime,KAN,4,1,NA,NA,0.108981219,0.114039409
0.01,4,GrowthYield,KAN,4,1,0.633561485,0.397476121,0.351887697,0.398402605
0.01,4,DoublingTime,KAN,8,2,0.473632007,0.423377166,0.153033566,0.162799529
0.01,4,GrowthYield,KAN,8,2,0.853060663,0.546408833,0.520490495,0.756650328
0.01,4,DoublingTime,KAN,16,3,0.640483509,0.551012447,0.229046399,0.255309979
0.01,4,GrowthYield,KAN,16,3,0.914815354,0.507889729,0.649056906,1.193868396
0.01,4,DoublingTime,TET,0.3,1,0.475883755,0.319292238,0.156735236,0.163821637
0.01,4,GrowthYield,TET,0.3,1,0.69023505,0.580487918,0.303525888,0.3293181
0.01,4,DoublingTime,TET,0.6,2,0.439992392,0.321544595,0.223709673,0.235730302
0.01,4,GrowthYield,TET,0.6,2,0.838933922,0.607671379,0.52607506,0.732852631
0.01,4,DoublingTime,TET,1.25,3,0.745955654,0.645771406,0.275050435,0.299518708
0.01,4,GrowthYield,TET,1.25,3,0.894880246,0.648088429,0.655904093,1.074659702
0.01,4,DoublingTime,TRIM,0.125,1,0.451406058,0.361975553,0.157508149,0.158696992
0.01,4,GrowthYield,TRIM,0.125,1,0.829055366,0.534853764,0.449525511,0.601847905
0.01,4,DoublingTime,TRIM,0.25,2,0.549900752,0.432373302,0.152109756,0.165257555
0.01,4,GrowthYield,TRIM,0.25,2,0.875959329,0.531404938,0.517865132,0.830200711
0.01,4,DoublingTime,TRIM,0.5,3,0.41142877,0.286217464,0.168419696,0.162725184
0.01,4,GrowthYield,TRIM,0.5,3,0.906593509,0.598877991,0.617126851,1.054493099
0.1,1,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.289354012,0.299415346
0.1,1,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.640915352,0.623541429
0.1,1,DoublingTime,CAM,0.5,1,NA,NA,0.137600464,0.135423202
0.1,1,GrowthYield,CAM,0.5,1,NA,NA,0.228048386,0.216066715
0.1,1,DoublingTime,CAM,1,2,NA,NA,0.132245178,0.143776393
0.1,1,GrowthYield,CAM,1,2,NA,NA,0.3350791,0.33151192
0.1,1,DoublingTime,CAM,2,3,NA,NA,0.216531548,0.212744298
0.1,1,GrowthYield,CAM,2,3,0.391376539,0.277933527,0.621262124,0.637115792
0.1,1,DoublingTime,CIP,0.002,1,NA,NA,0.125254256,0.123438158
0.1,1,GrowthYield,CIP,0.002,1,NA,NA,0.240982231,0.220801348
0.1,1,DoublingTime,CIP,0.004,2,NA,NA,0.172664259,0.179673303
0.1,1,GrowthYield,CIP,0.004,2,NA,NA,0.550219633,0.546219831
0.1,1,DoublingTime,CIP,0.008,3,NA,NA,0.123625856,0.117138901
0.1,1,GrowthYield,CIP,0.008,3,0.529015423,0.549683247,0.855724874,0.88603824
0.1,1,DoublingTime,CTX,0.5,1,NA,NA,0.151010064,0.151839767
0.1,1,GrowthYield,CTX,0.5,1,0.695278091,0.671823411,1.200783441,1.211446454
0.1,1,DoublingTime,CTX,1,2,NA,NA,0.135730884,0.134415332
0.1,1,GrowthYield,CTX,1,2,0.704821268,0.68087077,1.279753009,1.2809436
0.1,1,DoublingTime,CTX,2,3,NA,NA,0.187029732,0.186308248
0.1,1,GrowthYield,CTX,2,3,0.706322093,0.697374635,1.376468176,1.434079895
0.1,1,DoublingTime,KAN,4,1,NA,NA,0.111028365,0.107904889
0.1,1,GrowthYield,KAN,4,1,NA,NA,0.455629613,0.453660909
0.1,1,DoublingTime,KAN,8,2,NA,NA,0.179725403,0.165275439
0.1,1,GrowthYield,KAN,8,2,0.525477087,0.448962658,0.866863866,0.858212177
0.1,1,DoublingTime,KAN,16,3,NA,NA,0.310985916,0.275179457
0.1,1,GrowthYield,KAN,16,3,0.54042703,0.412774101,1.25424534,1.367721838
0.1,1,DoublingTime,TET,0.3,1,NA,NA,0.178542382,0.162630637
0.1,1,GrowthYield,TET,0.3,1,NA,NA,0.413333064,0.384730085
0.1,1,DoublingTime,TET,0.6,2,NA,NA,0.242945577,0.238561248
0.1,1,GrowthYield,TET,0.6,2,0.604790546,0.662390637,0.827733886,0.787566212
0.1,1,DoublingTime,TET,1.25,3,0.507370402,0.500089469,0.42397518,0.383457359
0.1,1,GrowthYield,TET,1.25,3,0.636422571,0.593830473,1.163270723,1.131838262
0.1,1,DoublingTime,TRIM,0.125,1,NA,NA,0.172241492,0.173873222
0.1,1,GrowthYield,TRIM,0.125,1,0.48003311,0.561832149,0.711281046,0.731811378
0.1,1,DoublingTime,TRIM,0.25,2,NA,NA,0.175003215,0.179658293
0.1,1,GrowthYield,TRIM,0.25,2,0.499940011,0.533925223,0.943988457,0.920649101
0.1,1,DoublingTime,TRIM,0.5,3,NA,NA,0.176456167,0.176542545
0.1,1,GrowthYield,TRIM,0.5,3,0.583588571,0.607653198,1.190628582,1.214553513
0.1,2,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.289561874,0.304487434
0.1,2,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.624446602,0.673687097
0.1,2,DoublingTime,CAM,0.5,1,NA,NA,0.137932994,0.134919756
0.1,2,GrowthYield,CAM,0.5,1,NA,NA,0.226144818,0.219461225
0.1,2,DoublingTime,CAM,1,2,NA,NA,0.137295181,0.128830215
0.1,2,GrowthYield,CAM,1,2,NA,NA,0.328538102,0.34623616
0.1,2,DoublingTime,CAM,2,3,NA,NA,0.213280011,0.222109219
0.1,2,GrowthYield,CAM,2,3,0.357004848,0.230528188,0.615377452,0.657004628
0.1,2,DoublingTime,CIP,0.002,1,NA,NA,0.12332116,0.127602786
0.1,2,GrowthYield,CIP,0.002,1,NA,NA,0.234591614,0.239749289
0.1,2,DoublingTime,CIP,0.004,2,NA,NA,0.174246764,0.174912158
0.1,2,GrowthYield,CIP,0.004,2,NA,NA,0.55647972,0.530180967
0.1,2,DoublingTime,CIP,0.008,3,NA,NA,0.122729622,0.119708355
0.1,2,GrowthYield,CIP,0.008,3,0.544847621,0.547733758,0.872164107,0.847822931
0.1,2,DoublingTime,CTX,0.5,1,NA,NA,0.155215772,0.138880342
0.1,2,GrowthYield,CTX,0.5,1,0.695734814,0.72748823,1.176728237,1.16478832
0.1,2,DoublingTime,CTX,1,2,NA,NA,0.139005544,0.124880346
0.1,2,GrowthYield,CTX,1,2,0.699504374,0.715844559,1.261306596,1.224020651
0.1,2,DoublingTime,CTX,2,3,NA,NA,0.189965555,0.177707886
0.1,2,GrowthYield,CTX,2,3,0.707038091,0.693758883,1.361850121,1.317193655
0.1,2,DoublingTime,KAN,4,1,NA,NA,0.110640504,0.109078723
0.1,2,GrowthYield,KAN,4,1,NA,NA,0.452565769,0.457011394
0.1,2,DoublingTime,KAN,8,2,NA,NA,0.172355458,0.186523105
0.1,2,GrowthYield,KAN,8,2,0.453675748,0.579708566,0.877614259,0.910177581
0.1,2,DoublingTime,KAN,16,3,NA,NA,0.293509888,0.325096491
0.1,2,GrowthYield,KAN,16,3,0.492575095,0.587350981,1.301831577,1.335298657
0.1,2,DoublingTime,TET,0.3,1,NA,NA,0.172781775,0.178520165
0.1,2,GrowthYield,TET,0.3,1,NA,NA,0.402781612,0.415985569
0.1,2,DoublingTime,TET,0.6,2,NA,NA,0.238542362,0.251773842
0.1,2,GrowthYield,TET,0.6,2,0.638670288,0.562764468,0.796605626,0.861282235
0.1,2,DoublingTime,TET,1.25,3,NA,NA,0.406489862,0.442285202
0.1,2,GrowthYield,TET,1.25,3,0.661260741,0.603849235,1.138252334,1.200900253
0.1,2,DoublingTime,TRIM,0.125,1,NA,NA,0.172693409,0.172661478
0.1,2,GrowthYield,TRIM,0.125,1,0.499817997,0.461869064,0.706659115,0.728671246
0.1,2,DoublingTime,TRIM,0.25,2,NA,NA,0.177305359,0.172732486
0.1,2,GrowthYield,TRIM,0.25,2,0.538213579,0.380108034,0.919405371,0.930701846
0.1,2,DoublingTime,TRIM,0.5,3,NA,NA,0.176813229,0.177866873
0.1,2,GrowthYield,TRIM,0.5,3,0.62200497,0.53709747,1.174608936,1.216507983
0.1,3,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.299541591,0.279228302
0.1,3,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.639396369,0.628034506
0.1,3,DoublingTime,CAM,0.5,1,NA,NA,0.13763892,0.135029217
0.1,3,GrowthYield,CAM,0.5,1,NA,NA,0.22738434,0.214876193
0.1,3,DoublingTime,CAM,1,2,NA,NA,0.137516282,0.128951248
0.1,3,GrowthYield,CAM,1,2,NA,NA,0.332353465,0.338297706
0.1,3,DoublingTime,CAM,2,3,NA,NA,0.217402747,0.210339694
0.1,3,GrowthYield,CAM,2,3,0.385735143,0.379291084,0.631474155,0.631992545
0.1,3,DoublingTime,CIP,0.002,1,NA,NA,0.125167466,0.123639769
0.1,3,GrowthYield,CIP,0.002,1,NA,NA,0.232488563,0.24602162
0.1,3,DoublingTime,CIP,0.004,2,NA,NA,0.176369372,0.168535761
0.1,3,GrowthYield,CIP,0.004,2,NA,NA,0.553217709,0.542045559
0.1,3,DoublingTime,CIP,0.008,3,NA,NA,0.120551354,0.127404075
0.1,3,GrowthYield,CIP,0.008,3,0.576129706,0.508504677,0.8717925,0.801426386
0.1,3,DoublingTime,CTX,0.5,1,NA,NA,0.146225921,0.166100054
0.1,3,GrowthYield,CTX,0.5,1,0.702448906,0.656760472,1.164979356,1.239535063
0.1,3,DoublingTime,CTX,1,2,NA,NA,0.130324446,0.150787737
0.1,3,GrowthYield,CTX,1,2,0.708080178,0.661323404,1.244439204,1.343072754
0.1,3,DoublingTime,CTX,2,3,NA,NA,0.182387611,0.20041541
0.1,3,GrowthYield,CTX,2,3,0.707815927,0.669632389,1.341640818,1.43191291
0.1,3,DoublingTime,KAN,4,1,NA,NA,0.110247464,0.111111009
0.1,3,GrowthYield,KAN,4,1,NA,NA,0.449360301,0.470059912
0.1,3,DoublingTime,KAN,8,2,NA,NA,0.176944126,0.169270367
0.1,3,GrowthYield,KAN,8,2,0.531822661,0.395259861,0.856269694,0.895615159
0.1,3,DoublingTime,KAN,16,3,NA,NA,0.302532797,0.297139593
0.1,3,GrowthYield,KAN,16,3,0.549516473,0.403832737,1.272929116,1.300822703
0.1,3,DoublingTime,TET,0.3,1,NA,NA,0.171495039,0.181826319
0.1,3,GrowthYield,TET,0.3,1,NA,NA,0.402675224,0.420847035
0.1,3,DoublingTime,TET,0.6,2,NA,NA,0.246244664,0.229733393
0.1,3,GrowthYield,TET,0.6,2,0.599337544,0.597652429,0.814593365,0.813214996
0.1,3,DoublingTime,TET,1.25,3,NA,NA,0.418229433,0.40810362
0.1,3,GrowthYield,TET,1.25,3,0.645866914,0.648728273,1.161229878,1.158265519
0.1,3,DoublingTime,TRIM,0.125,1,NA,NA,0.171787844,0.175557776
0.1,3,GrowthYield,TRIM,0.125,1,0.54070253,0.468916431,0.70370558,0.725152012
0.1,3,DoublingTime,TRIM,0.25,2,NA,NA,0.177320174,0.172994914
0.1,3,GrowthYield,TRIM,0.25,2,0.528463176,0.445207333,0.916511889,1.01088288
0.1,3,DoublingTime,TRIM,0.5,3,NA,NA,0.174616289,0.185643601
0.1,3,GrowthYield,TRIM,0.5,3,0.610484437,0.556918309,1.161552436,1.246000703
0.1,4,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.293259377,0.290914402
0.1,4,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.641964355,0.621601529
0.1,4,DoublingTime,CAM,0.5,1,NA,NA,0.13494724,0.142851873
0.1,4,GrowthYield,CAM,0.5,1,NA,NA,0.216519471,0.248466009
0.1,4,DoublingTime,CAM,1,2,NA,NA,0.133793667,0.139789381
0.1,4,GrowthYield,CAM,1,2,NA,NA,0.338310918,0.320532139
0.1,4,DoublingTime,CAM,2,3,NA,NA,0.215202143,0.217028459
0.1,4,GrowthYield,CAM,2,3,0.342912733,0.293111271,0.639362381,0.590828701
0.1,4,DoublingTime,CIP,0.002,1,NA,NA,0.124724903,0.124018672
0.1,4,GrowthYield,CIP,0.002,1,NA,NA,0.235643453,0.237042663
0.1,4,DoublingTime,CIP,0.004,2,NA,NA,0.174389412,0.174489771
0.1,4,GrowthYield,CIP,0.004,2,NA,NA,0.538163199,0.580194885
0.1,4,DoublingTime,CIP,0.008,3,NA,NA,0.12116294,0.124974533
0.1,4,GrowthYield,CIP,0.008,3,0.576539859,0.47928946,0.816411145,0.915588591
0.1,4,DoublingTime,CTX,0.5,1,NA,NA,0.152514283,0.148423864
0.1,4,GrowthYield,CTX,0.5,1,0.709916089,0.637058771,1.16079075,1.251080278
0.1,4,DoublingTime,CTX,1,2,NA,NA,0.136400135,0.132538666
0.1,4,GrowthYield,CTX,1,2,0.712136277,0.647904025,1.240670257,1.375455029
0.1,4,DoublingTime,CTX,2,3,NA,NA,0.187993498,0.183690256
0.1,4,GrowthYield,CTX,2,3,0.707479098,0.660670891,1.350661722,1.439499695
0.1,4,DoublingTime,KAN,4,1,NA,NA,0.108981219,0.114039409
0.1,4,GrowthYield,KAN,4,1,NA,NA,0.459889443,0.436088976
0.1,4,DoublingTime,KAN,8,2,NA,NA,0.173090424,0.181878791
0.1,4,GrowthYield,KAN,8,2,0.495811339,0.501607497,0.876078389,0.839218653
0.1,4,DoublingTime,KAN,16,3,NA,NA,0.298670553,0.308552826
0.1,4,GrowthYield,KAN,16,3,0.525001585,0.488163187,1.29518271,1.224597156
0.1,4,DoublingTime,TET,0.3,1,NA,NA,0.174326291,0.174472823
0.1,4,GrowthYield,TET,0.3,1,NA,NA,0.407307867,0.404360542
0.1,4,DoublingTime,TET,0.6,2,NA,NA,0.240619055,0.249364605
0.1,4,GrowthYield,TET,0.6,2,0.605458538,0.568670011,0.808578744,0.813913443
0.1,4,DoublingTime,TET,1.25,3,NA,NA,0.412010964,0.426522671
0.1,4,GrowthYield,TET,1.25,3,0.610550052,0.592828785,1.151974996,1.146176004
0.1,4,DoublingTime,TRIM,0.125,1,NA,NA,0.173964537,0.168792162
0.1,4,GrowthYield,TRIM,0.125,1,0.511713364,0.497986959,0.718519732,0.669701727
0.1,4,DoublingTime,TRIM,0.25,2,NA,NA,0.174975061,0.179884411
0.1,4,GrowthYield,TRIM,0.25,2,0.510678172,0.501672425,0.942739574,0.901424316
0.1,4,DoublingTime,TRIM,0.5,3,NA,NA,0.179670413,0.168929498
0.1,4,GrowthYield,TRIM,0.5,3,0.611166791,0.579962801,1.184433613,1.108629365
1,1,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.289354012,0.299415346
1,1,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.640915352,0.623541429
1,1,DoublingTime,CAM,0.5,1,NA,NA,0.137600464,0.135423202
1,1,GrowthYield,CAM,0.5,1,NA,NA,0.228048386,0.216066715
1,1,DoublingTime,CAM,1,2,NA,NA,0.132245178,0.143776393
1,1,GrowthYield,CAM,1,2,NA,NA,0.3350791,0.33151192
1,1,DoublingTime,CAM,2,3,NA,NA,0.216531548,0.212744298
1,1,GrowthYield,CAM,2,3,NA,NA,0.63173308,0.643460173
1,1,DoublingTime,CIP,0.002,1,NA,NA,0.125254256,0.123438158
1,1,GrowthYield,CIP,0.002,1,NA,NA,0.240982231,0.220801348
1,1,DoublingTime,CIP,0.004,2,NA,NA,0.172664259,0.179673303
1,1,GrowthYield,CIP,0.004,2,NA,NA,0.550219633,0.546219831
1,1,DoublingTime,CIP,0.008,3,NA,NA,0.123625856,0.117138901
1,1,GrowthYield,CIP,0.008,3,NA,NA,0.973091282,1.004693091
1,1,DoublingTime,CTX,0.5,1,NA,NA,0.151010064,0.151839767
1,1,GrowthYield,CTX,0.5,1,NA,NA,2.052130304,2.123560044
1,1,DoublingTime,CTX,1,2,NA,NA,0.135730884,0.134415332
1,1,GrowthYield,CTX,1,2,NA,NA,2.274706281,2.364652524
1,1,DoublingTime,CTX,2,3,NA,NA,0.187029732,0.186308248
1,1,GrowthYield,CTX,2,3,NA,NA,2.54688459,2.697501162
1,1,DoublingTime,KAN,4,1,NA,NA,0.111028365,0.107904889
1,1,GrowthYield,KAN,4,1,NA,NA,0.455629613,0.453660909
1,1,DoublingTime,KAN,8,2,NA,NA,0.179725403,0.165275439
1,1,GrowthYield,KAN,8,2,NA,NA,0.974261098,0.954262701
1,1,DoublingTime,KAN,16,3,NA,NA,0.310985916,0.275179457
1,1,GrowthYield,KAN,16,3,NA,NA,1.534872794,1.610052982
1,1,DoublingTime,TET,0.3,1,NA,NA,0.178542382,0.162630637
1,1,GrowthYield,TET,0.3,1,NA,NA,0.413333064,0.384730085
1,1,DoublingTime,TET,0.6,2,NA,NA,0.242945577,0.238561248
1,1,GrowthYield,TET,0.6,2,NA,NA,0.985718673,0.949635106
1,1,DoublingTime,TET,1.25,3,NA,NA,0.425766743,0.385274203
1,1,GrowthYield,TET,1.25,3,NA,NA,1.674870148,1.612300202
1,1,DoublingTime,TRIM,0.125,1,NA,NA,0.172241492,0.173873222
1,1,GrowthYield,TRIM,0.125,1,NA,NA,0.766153547,0.791234801
1,1,DoublingTime,TRIM,0.25,2,NA,NA,0.175003215,0.179658293
1,1,GrowthYield,TRIM,0.25,2,NA,NA,1.068456852,1.060407922
1,1,DoublingTime,TRIM,0.5,3,NA,NA,0.176456167,0.176542545
1,1,GrowthYield,TRIM,0.5,3,NA,NA,1.514074421,1.560024178
1,2,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.289561874,0.304487434
1,2,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.624446602,0.673687097
1,2,DoublingTime,CAM,0.5,1,NA,NA,0.137932994,0.134919756
1,2,GrowthYield,CAM,0.5,1,NA,NA,0.226144818,0.219461225
1,2,DoublingTime,CAM,1,2,NA,NA,0.137295181,0.128830215
1,2,GrowthYield,CAM,1,2,NA,NA,0.328538102,0.34623616
1,2,DoublingTime,CAM,2,3,NA,NA,0.213280011,0.222109219
1,2,GrowthYield,CAM,2,3,NA,NA,0.624210713,0.663869853
1,2,DoublingTime,CIP,0.002,1,NA,NA,0.12332116,0.127602786
1,2,GrowthYield,CIP,0.002,1,NA,NA,0.234591614,0.239749289
1,2,DoublingTime,CIP,0.004,2,NA,NA,0.174246764,0.174912158
1,2,GrowthYield,CIP,0.004,2,NA,NA,0.55647972,0.530180967
1,2,DoublingTime,CIP,0.008,3,NA,NA,0.122729622,0.119708355
1,2,GrowthYield,CIP,0.008,3,NA,NA,0.983810997,0.979157791
1,2,DoublingTime,CTX,0.5,1,NA,NA,0.155215772,0.138880342
1,2,GrowthYield,CTX,0.5,1,NA,NA,2.069676663,2.063493644
1,2,DoublingTime,CTX,1,2,NA,NA,0.139005544,0.124880346
1,2,GrowthYield,CTX,1,2,NA,NA,2.303395146,2.263593351
1,2,DoublingTime,CTX,2,3,NA,NA,0.189965555,0.177707886
1,2,GrowthYield,CTX,2,3,NA,NA,2.59157967,2.54194101
1,2,DoublingTime,KAN,4,1,NA,NA,0.110640504,0.109078723
1,2,GrowthYield,KAN,4,1,NA,NA,0.452565769,0.457011394
1,2,DoublingTime,KAN,8,2,NA,NA,0.172355458,0.186523105
1,2,GrowthYield,KAN,8,2,NA,NA,0.952203802,1.015314647
1,2,DoublingTime,KAN,16,3,NA,NA,0.293509888,0.325096491
1,2,GrowthYield,KAN,16,3,NA,NA,1.523708751,1.638696426
1,2,DoublingTime,TET,0.3,1,NA,NA,0.172781775,0.178520165
1,2,GrowthYield,TET,0.3,1,NA,NA,0.402781612,0.415985569
1,2,DoublingTime,TET,0.6,2,NA,NA,0.238542362,0.251773842
1,2,GrowthYield,TET,0.6,2,NA,NA,0.96516871,1.010622864
1,2,DoublingTime,TET,1.25,3,NA,NA,0.406489862,0.442285202
1,2,GrowthYield,TET,1.25,3,NA,NA,1.647611991,1.701365086
1,2,DoublingTime,TRIM,0.125,1,NA,NA,0.172693409,0.172661478
1,2,GrowthYield,TRIM,0.125,1,NA,NA,0.765067724,0.794525612
1,2,DoublingTime,TRIM,0.25,2,NA,NA,0.177305359,0.172732486
1,2,GrowthYield,TRIM,0.25,2,NA,NA,1.068087986,1.061414297
1,2,DoublingTime,TRIM,0.5,3,NA,NA,0.176813229,0.177866873
1,2,GrowthYield,TRIM,0.5,3,NA,NA,1.513090051,1.561189467
1,3,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.299541591,0.279228302
1,3,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.639396369,0.628034506
1,3,DoublingTime,CAM,0.5,1,NA,NA,0.13763892,0.135029217
1,3,GrowthYield,CAM,0.5,1,NA,NA,0.22738434,0.214876193
1,3,DoublingTime,CAM,1,2,NA,NA,0.137516282,0.128951248
1,3,GrowthYield,CAM,1,2,NA,NA,0.332353465,0.338297706
1,3,DoublingTime,CAM,2,3,NA,NA,0.217402747,0.210339694
1,3,GrowthYield,CAM,2,3,NA,NA,0.635194983,0.635307198
1,3,DoublingTime,CIP,0.002,1,NA,NA,0.125167466,0.123639769
1,3,GrowthYield,CIP,0.002,1,NA,NA,0.232488563,0.24602162
1,3,DoublingTime,CIP,0.004,2,NA,NA,0.176369372,0.168535761
1,3,GrowthYield,CIP,0.004,2,NA,NA,0.553217709,0.542045559
1,3,DoublingTime,CIP,0.008,3,NA,NA,0.120551354,0.127404075
1,3,GrowthYield,CIP,0.008,3,NA,NA,1.006572831,0.916204717
1,3,DoublingTime,CTX,0.5,1,NA,NA,0.146225921,0.166100054
1,3,GrowthYield,CTX,0.5,1,NA,NA,2.073518285,2.074003322
1,3,DoublingTime,CTX,1,2,NA,NA,0.130324446,0.150787737
1,3,GrowthYield,CTX,1,2,NA,NA,2.301719906,2.295568
1,3,DoublingTime,CTX,2,3,NA,NA,0.182387611,0.20041541
1,3,GrowthYield,CTX,2,3,NA,NA,2.592236863,2.578356172
1,3,DoublingTime,KAN,4,1,NA,NA,0.110247464,0.111111009
1,3,GrowthYield,KAN,4,1,NA,NA,0.449360301,0.470059912
1,3,DoublingTime,KAN,8,2,NA,NA,0.176944126,0.169270367
1,3,GrowthYield,KAN,8,2,NA,NA,0.969749996,0.963324423
1,3,DoublingTime,KAN,16,3,NA,NA,0.302532797,0.297139593
1,3,GrowthYield,KAN,16,3,NA,NA,1.570729983,1.497032375
1,3,DoublingTime,TET,0.3,1,NA,NA,0.171495039,0.181826319
1,3,GrowthYield,TET,0.3,1,NA,NA,0.402675224,0.420847035
1,3,DoublingTime,TET,0.6,2,NA,NA,0.246244664,0.229733393
1,3,GrowthYield,TET,0.6,2,NA,NA,0.972078123,0.991225966
1,3,DoublingTime,TET,1.25,3,NA,NA,0.418229433,0.40810362
1,3,GrowthYield,TET,1.25,3,NA,NA,1.645327993,1.701710057
1,3,DoublingTime,TRIM,0.125,1,NA,NA,0.171787844,0.175557776
1,3,GrowthYield,TRIM,0.125,1,NA,NA,0.769922921,0.785258372
1,3,DoublingTime,TRIM,0.25,2,NA,NA,0.177320174,0.172994914
1,3,GrowthYield,TRIM,0.25,2,NA,NA,1.045503655,1.136186782
1,3,DoublingTime,TRIM,0.5,3,NA,NA,0.174616289,0.185643601
1,3,GrowthYield,TRIM,0.5,3,NA,NA,1.514358581,1.556574738
1,4,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.293259377,0.290914402
1,4,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.641964355,0.621601529
1,4,DoublingTime,CAM,0.5,1,NA,NA,0.13494724,0.142851873
1,4,GrowthYield,CAM,0.5,1,NA,NA,0.216519471,0.248466009
1,4,DoublingTime,CAM,1,2,NA,NA,0.133793667,0.139789381
1,4,GrowthYield,CAM,1,2,NA,NA,0.338310918,0.320532139
1,4,DoublingTime,CAM,2,3,NA,NA,0.215202143,0.217028459
1,4,GrowthYield,CAM,2,3,NA,NA,0.646674123,0.597411934
1,4,DoublingTime,CIP,0.002,1,NA,NA,0.124724903,0.124018672
1,4,GrowthYield,CIP,0.002,1,NA,NA,0.235643453,0.237042663
1,4,DoublingTime,CIP,0.004,2,NA,NA,0.174389412,0.174489771
1,4,GrowthYield,CIP,0.004,2,NA,NA,0.538163199,0.580194885
1,4,DoublingTime,CIP,0.008,3,NA,NA,0.12116294,0.124974533
1,4,GrowthYield,CIP,0.008,3,NA,NA,0.961081798,1.024624803
1,4,DoublingTime,CTX,0.5,1,NA,NA,0.152514283,0.148423864
1,4,GrowthYield,CTX,0.5,1,NA,NA,2.091108403,2.027996514
1,4,DoublingTime,CTX,1,2,NA,NA,0.136400135,0.132538666
1,4,GrowthYield,CTX,1,2,NA,NA,2.309393564,2.267311842
1,4,DoublingTime,CTX,2,3,NA,NA,0.187993498,0.183690256
1,4,GrowthYield,CTX,2,3,NA,NA,2.608080718,2.523486627
1,4,DoublingTime,KAN,4,1,NA,NA,0.108981219,0.114039409
1,4,GrowthYield,KAN,4,1,NA,NA,0.459889443,0.436088976
1,4,DoublingTime,KAN,8,2,NA,NA,0.173090424,0.181878791
1,4,GrowthYield,KAN,8,2,NA,NA,0.976903811,0.940051434
1,4,DoublingTime,KAN,16,3,NA,NA,0.298670553,0.308552826
1,4,GrowthYield,KAN,16,3,NA,NA,1.581711461,1.469632336
1,4,DoublingTime,TET,0.3,1,NA,NA,0.174326291,0.174472823
1,4,GrowthYield,TET,0.3,1,NA,NA,0.407307867,0.404360542
1,4,DoublingTime,TET,0.6,2,NA,NA,0.240619055,0.249364605
1,4,GrowthYield,TET,0.6,2,NA,NA,0.983838023,0.955170508
1,4,DoublingTime,TET,1.25,3,NA,NA,0.412010964,0.426522671
1,4,GrowthYield,TET,1.25,3,NA,NA,1.671501829,1.624873162
1,4,DoublingTime,TRIM,0.125,1,NA,NA,0.173964537,0.168792162
1,4,GrowthYield,TRIM,0.125,1,NA,NA,0.791254946,0.724256954
1,4,DoublingTime,TRIM,0.25,2,NA,NA,0.174975061,0.179884411
1,4,GrowthYield,TRIM,0.25,2,NA,NA,1.085476324,1.013298285
1,4,DoublingTime,TRIM,0.5,3,NA,NA,0.179670413,0.168929498
1,4,GrowthYield,TRIM,0.5,3,NA,NA,1.558772602,1.425374362
10,1,DoublingTime,NoAntimicrbial,NA,2,NA,NA,0.289354012,0.299415346
10,1,GrowthYield,NoAntimicrbial,NA,2,NA,NA,0.640915352,0.623541429
10,1,DoublingTime,CAM,0.5,1,NA,NA,0.137600464,0.135423202
10,1,GrowthYield,CAM,0.5,1,NA,NA,0.228048386,0.216066715
10,1,DoublingTime,CAM,1,2,NA,NA,0.132245178,0.143776393
10,1,GrowthYield,CAM,1,2,NA,NA,0.3350791,0.33151192
10,1,DoublingTime,CAM,2,3,NA,NA,0.216531548,0.212744298
10,1,GrowthYield,CAM,2,3,NA,NA,0.63173308,0.643460173
