alpha,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1.00E-05,3,DoublingTime,TRIM,0.5,3,0.999957816,0.239496912,0.001355864,0.217286134
1.00E-05,3,GrowthYield,TRIM,0.5,3,0.99999646,0.583380567,0.001372362,1.233581807
1.00E-05,4,DoublingTime,NoAntimicrbial,NA,2,0.999978683,0.208788251,0.00135376,0.339526531
1.00E-05,4,GrowthYield,NoAntimicrbial,NA,2,0.999992555,0.342034862,0.001518818,0.743269521
1.00E-05,4,DoublingTime,CAM,0.5,1,0.999929063,0.169594452,0.001406277,0.183214721
1.00E-05,4,GrowthYield,CAM,0.5,1,0.999964731,0.251239772,0.001339448,0.288917703
1.00E-05,4,DoublingTime,CAM,1,2,0.999924912,0.149197302,0.001392683,0.184308203
1.00E-05,4,GrowthYield,CAM,1,2,0.999982336,0.238476972,0.001388501,0.379407523
1.00E-05,4,DoublingTime,CAM,2,3,0.999967526,0.195709203,0.001429564,0.26928494
1.00E-05,4,GrowthYield,CAM,2,3,0.999993054,0.382889093,0.001426799,0.610641597
1.00E-05,4,DoublingTime,CIP,0.002,1,0.999914752,0.168525311,0.001392984,0.16359921
1.00E-05,4,GrowthYield,CIP,0.002,1,0.999963593,0.365039045,0.001442606,0.264421839
1.00E-05,4,DoublingTime,CIP,0.004,2,0.999956907,0.192118111,0.001407987,0.209927974
1.00E-05,4,GrowthYield,CIP,0.004,2,0.999989182,0.393825579,0.001403644,0.617122133
1.00E-05,4,DoublingTime,CIP,0.008,3,0.99991092,0.154335384,0.001353868,0.159795591
1.00E-05,4,GrowthYield,CIP,0.008,3,0.99999483,0.448286472,0.001438387,1.023009394
1.00E-05,4,DoublingTime,CTX,0.5,1,0.999952895,0.283143295,0.001353784,0.172097906
1.00E-05,4,GrowthYield,CTX,0.5,1,0.999996367,0.519809738,0.00144389,1.736117812
1.00E-05,4,DoublingTime,CTX,1,2,0.999927107,0.221071597,0.001380173,0.167613232
1.00E-05,4,GrowthYield,CTX,1,2,0.999996387,0.535139439,0.001452268,1.803666886
1.00E-05,4,DoublingTime,CTX,2,3,0.999957985,0.442173427,0.001376147,0.180456288
1.00E-05,4,GrowthYield,CTX,2,3,0.999996806,0.571071771,0.00154252,1.931424033
1.00E-05,4,DoublingTime,KAN,4,1,0.999889882,0.130890274,0.001329209,0.146013799
1.00E-05,4,GrowthYield,KAN,4,1,0.999987026,0.353885842,0.001408537,0.495331686
1.00E-05,4,DoublingTime,KAN,8,2,0.999938784,0.384285718,0.001369202,0.194114848
1.00E-05,4,GrowthYield,KAN,8,2,0.999995629,0.46248603,0.001434511,0.908406273
1.00E-05,4,DoublingTime,KAN,16,3,0.99998022,0.501051081,0.001332207,0.301676613
1.00E-05,4,GrowthYield,KAN,16,3,0.999997445,0.422254126,0.001550646,1.472199901
1.00E-05,4,DoublingTime,TET,0.3,1,0.999948504,0.201066679,0.001366827,0.222288042
1.00E-05,4,GrowthYield,TET,0.3,1,0.999980479,0.411558974,0.001415944,0.423190388
1.00E-05,4,DoublingTime,TET,0.6,2,0.999969861,0.206639803,0.001378045,0.2798656
1.00E-05,4,GrowthYield,TET,0.6,2,0.99999511,0.480249926,0.001450556,0.885461796
1.00E-05,4,DoublingTime,TET,1.25,3,0.999987445,0.569751666,0.001406751,0.349974098
1.00E-05,4,GrowthYield,TET,1.25,3,0.999996946,0.522682184,0.001492116,1.370480032
1.00E-05,4,DoublingTime,TRIM,0.125,1,0.999950061,0.259686412,0.001357675,0.195155258
1.00E-05,4,GrowthYield,TRIM,0.125,1,0.999992934,0.465889301,0.001366035,0.705631175
1.00E-05,4,DoublingTime,TRIM,0.25,2,0.999943654,0.332124173,0.001351744,0.197037183
1.00E-05,4,GrowthYield,TRIM,0.25,2,0.999995629,0.488142197,0.001370148,0.9309925
1.00E-05,4,DoublingTime,TRIM,0.5,3,0.999951897,0.24879113,0.001366892,0.217669053
1.00E-05,4,GrowthYield,TRIM,0.5,3,0.999997166,0.551783894,0.001435515,1.199191684
0.0001,1,DoublingTime,NoAntimicrbial,NA,2,0.998927608,0.287807332,0.012752441,0.318624075
0.0001,1,GrowthYield,NoAntimicrbial,NA,2,0.999753238,0.279698536,0.01266409,0.778457897
0.0001,1,DoublingTime,CAM,0.5,1,0.995828016,0.078847256,0.011958947,0.185222798
0.0001,1,GrowthYield,CAM,0.5,1,0.998048735,0.173687114,0.012486246,0.299206333
0.0001,1,DoublingTime,CAM,1,2,0.995478189,0.172835293,0.012670836,0.176366949
0.0001,1,GrowthYield,CAM,1,2,0.999231451,0.273385326,0.012233702,0.395869111
0.0001,1,DoublingTime,CAM,2,3,0.997887595,0.180665556,0.013087009,0.270732465
0.0001,1,GrowthYield,CAM,2,3,0.999730246,0.391639174,0.012647683,0.707889502
0.0001,1,DoublingTime,CIP,0.002,1,0.99452435,0.184049043,0.012577904,0.163161225
0.0001,1,GrowthYield,CIP,0.002,1,0.998010688,0.218215449,0.012934453,0.291544212
0.0001,1,DoublingTime,CIP,0.004,2,0.997292538,0.161405748,0.012566226,0.22800175
0.0001,1,GrowthYield,CIP,0.004,2,0.999546492,0.253354282,0.013016796,0.648925762
0.0001,1,DoublingTime,CIP,0.008,3,0.994825653,0.14629201,0.012302254,0.166181505
0.0001,1,GrowthYield,CIP,0.008,3,0.999854473,0.464568032,0.012347401,1.034824336
0.0001,1,DoublingTime,CTX,0.5,1,0.996812478,0.205065496,0.012299897,0.181940773
0.0001,1,GrowthYield,CTX,0.5,1,0.999913523,0.624569222,0.013008358,1.43915881
0.0001,1,DoublingTime,CTX,1,2,0.99510724,0.192538589,0.012515706,0.161591998
0.0001,1,GrowthYield,CTX,1,2,0.999927962,0.625582754,0.012369573,1.574266375
0.0001,1,DoublingTime,CTX,2,3,0.997624803,0.360113143,0.012327156,0.199462629
0.0001,1,GrowthYield,CTX,2,3,0.999925794,0.655079557,0.012315122,1.632807933
0.0001,1,DoublingTime,KAN,4,1,0.993468431,0.173141408,0.011896849,0.1360744
0.0001,1,GrowthYield,KAN,4,1,0.999477736,0.269927203,0.012378063,0.560635484
0.0001,1,DoublingTime,KAN,8,2,0.997290708,0.173353957,0.011407829,0.197407586
0.0001,1,GrowthYield,KAN,8,2,0.999880746,0.408102305,0.012378879,0.950143749
0.0001,1,DoublingTime,KAN,16,3,0.999111859,0.388067475,0.011883629,0.311687333
0.0001,1,GrowthYield,KAN,16,3,0.999936614,0.425303681,0.012924324,1.511354213
0.0001,1,DoublingTime,TET,0.3,1,0.997104866,0.185114496,0.01262744,0.218269512
0.0001,1,GrowthYield,TET,0.3,1,0.999409955,0.340663501,0.012281741,0.460886771
0.0001,1,DoublingTime,TET,0.6,2,0.998432135,0.121987799,0.013197895,0.309473707
