max_depth,n_estimators,subsample,CrossValidations,Measurement,Drug,Concentration_Original,Concetration,Training Spearman,Validation Spearman,Training MAE,Validation MAE
1,30,0.8,3,DoublingTime,KAN,16,3,0.562028611,0.557972329,0.253612557,0.250246966
1,30,0.8,3,GrowthYield,KAN,16,3,0.540945591,0.458940636,1.250784265,1.237185742
1,30,0.8,3,DoublingTime,TET,0.3,1,0.456312804,0.40669009,0.153723812,0.163348635
1,30,0.8,3,GrowthYield,TET,0.3,1,0.554818733,0.479922408,0.340533057,0.356748419
1,30,0.8,3,DoublingTime,TET,0.6,2,0.352770341,0.378258604,0.233954585,0.217876285
1,30,0.8,3,GrowthYield,TET,0.6,2,0.626655092,0.6120027,0.735578422,0.725290785
1,30,0.8,3,DoublingTime,TET,1.25,3,0.658683511,0.631694961,0.311601894,0.301628693
1,30,0.8,3,GrowthYield,TET,1.25,3,0.640660963,0.64281733,1.16004059,1.148502098
1,30,0.8,3,DoublingTime,TRIM,0.125,1,0.365107232,0.390924742,0.16099538,0.163119438
1,30,0.8,3,GrowthYield,TRIM,0.125,1,0.547672487,0.498529016,0.628550591,0.660011204
1,30,0.8,3,DoublingTime,TRIM,0.25,2,0.478670713,0.496295286,0.157277572,0.151741941
1,30,0.8,3,GrowthYield,TRIM,0.25,2,0.557886508,0.564872024,0.835790461,0.935861993
1,30,0.8,3,DoublingTime,TRIM,0.5,3,0.349646753,0.354386721,0.166077178,0.175723831
1,30,0.8,3,GrowthYield,TRIM,0.5,3,0.608543534,0.588112575,1.098491041,1.212871393
1,30,0.8,4,DoublingTime,NoAntimicrbial,NA,2,0.34465964,0.30148699,0.273444502,0.275026021
1,30,0.8,4,GrowthYield,NoAntimicrbial,NA,2,0.287504536,0.306889015,0.613797321,0.584395443
1,30,0.8,4,DoublingTime,CAM,0.5,1,0.207000049,0.114268269,0.132635483,0.140981101
1,30,0.8,4,GrowthYield,CAM,0.5,1,0.396764484,0.407868411,0.202421127,0.230146806
1,30,0.8,4,DoublingTime,CAM,1,2,0.212193492,0.074119672,0.130534022,0.138819652
1,30,0.8,4,GrowthYield,CAM,1,2,0.395063819,0.419136858,0.309388348,0.289407248
1,30,0.8,4,DoublingTime,CAM,2,3,0.318697076,0.291612937,0.203608049,0.208523599
1,30,0.8,4,GrowthYield,CAM,2,3,0.468663499,0.500101065,0.573927307,0.524896381
1,30,0.8,4,DoublingTime,CIP,0.002,1,0.237842522,0.216176495,0.121240419,0.120365194
